statement_id,account_iban,entry_seq,entry_reference,booking_date,value_date,credit_debit,amount_minor,currency,end_to_end_id,uetr,bank_reference,remittance_information,debtor_name,debtor_bic,rail
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,13,HBL2026073000013,2026-07-30,2026-07-30,CRDT,195000,PKR,E2EP260000D0012,,BREF0000013,PSID 41011300000758728 TRAFFIC E-CHALLAN - ,,UNILPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,14,HBL2026073000014,2026-07-29,2026-07-29,CRDT,94388000,PKR,E2EP260000E0013,07c0ede9-ab24-4856-866e-aed8d34cd764,BREF0000014,PSID 12010100001359715 INCOME TAX - COMPANI,,EASYPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,15,HBL2026073000015,2026-07-28,2026-07-28,CRDT,4630000,PKR,E2EP260000F0014,,BREF0000015,PSID 31011200002605610 PROPERTY TAX - URBAN,,MUCBPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,16,HBL2026073000016,2026-07-27,2026-07-27,CRDT,21800000,PKR,E2EP260000G0015,,BREF0000016,PSID 22010800000403089 SINDH SALES TAX ON S,,UNILPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,17,HBL2026073000017,2026-07-31,2026-07-31,CRDT,21560000,PKR,E2EP260000H0016,,BREF0000017,PSID 71011800000315665 STAMP DUTY - PROPERT,,FAYSPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,18,HBL2026073000018,2026-07-30,2026-07-30,CRDT,30800000,PKR,E2EP260000J0017,,BREF0000018,PSID 71011800000612043 STAMP DUTY - PROPERT,,MUCBPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,19,HBL2026073000019,2026-07-28,2026-07-28,CRDT,600000,PKR,E2EP260000K0018,5e53b3ba-9a88-43c0-8854-2323ed2f8f4b,BREF0000019,PSID 41011300000955356 TRAFFIC E-CHALLAN - ,,JSBLPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,20,HBL2026073000020,2026-07-27,2026-07-27,CRDT,13756000,PKR,E2EP260000M0019,9b68288c-e4d9-43b7-8da1-c270243aa186,BREF0000020,PSID 12010200004775239 INCOME TAX - INDIVID,,HABBPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,21,HBL2026073000021,2026-07-30,2026-07-30,CRDT,15400000,PKR,E2EP260000N0020,,BREF0000021,PSID 71011800000183627 STAMP DUTY - PROPERT,,EASYPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,22,HBL2026073000022,2026-07-29,2026-07-29,CRDT,750000,PKR,E2EP260000P0021,,BREF0000022,PSID 41011400000685365 TRAFFIC E-CHALLAN - ,,MUCBPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,23,HBL2026073000023,2026-07-28,2026-07-28,CRDT,41428800,PKR,E2EP260000Q0022,f70c4d31-a282-43b8-86c9-5e1c61e977b7,BREF0000023,PSID 12010400002312071 SALES TAX ON GOODS -,,ALFHPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,24,HBL2026073000024,2026-07-27,2026-07-27,CRDT,350000,PKR,E2EP260000R0023,,BREF0000024,PSID 41011400000884904 TRAFFIC E-CHALLAN - ,,NBPAPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,25,HBL2026073000025,2026-07-30,2026-07-30,CRDT,24200000,PKR,E2EP260000S0024,,BREF0000025,PSID 21010700000801750 PUNJAB SALES TAX ON ,,HABBPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,26,HBL2026073000026,2026-07-29,2026-07-29,CRDT,500000,PKR,E2EP260000T0025,,BREF0000026,PSID 41011300001327382 TRAFFIC E-CHALLAN - ,,ALFHPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,27,HBL2026073000027,2026-07-28,2026-07-28,CRDT,48081600,PKR,E2EP260000V0026,,BREF0000027,PSID 12010400002511726 SALES TAX ON GOODS -,,MEZNPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,28,HBL2026073000028,2026-07-27,2026-07-27,CRDT,150000,PKR,E2EP260000W0027,953efbba-9352-42c4-87fb-499e5117d68b,BREF0000028,PSID 88000000000021 CNIC ISSUANCE / RENE,,ALFHPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,29,HBL2026073000029,2026-07-30,2026-07-30,CRDT,150000,PKR,E2EP260000X0028,6b7e7204-b79f-4200-8972-312e2b5bdfe3,BREF0000029,PSID 88000000000070 CNIC ISSUANCE / RENE,,JSBLPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,30,HBL2026073000030,2026-07-29,2026-07-29,CRDT,150000,PKR,E2EP260000Y0029,,BREF0000030,PSID 88000000000088 CNIC ISSUANCE / RENE,,HABBPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,31,HBL2026073000031,2026-07-28,2026-07-28,CRDT,1550000,PKR,E2EP260000Z0030,,BREF0000031,PSID 31011100001733224 PROFESSIONAL TAX - B,,ALFHPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,32,HBL2026073000032,2026-07-27,2026-07-27,CRDT,2500000,PKR,E2EP26000100031,50cecec7-090a-4146-880b-8655df2f3b43,BREF0000032,PSID 61011600000363682 COURT FEE - CIVIL FI,,MEZNPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,33,HBL2026073000033,2026-07-30,2026-07-30,CRDT,12034000,PKR,E2EP26000110032,,BREF0000033,PSID 12010200004676828 INCOME TAX - INDIVID,,EASYPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,34,HBL2026073000034,2026-07-30,2026-07-30,CRDT,3000000,PKR,E2EP26000120033,,BREF0000034,PSID 61011600000424002 COURT FEE - CIVIL FI,,FAYSPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,35,HBL2026073000035,2026-07-28,2026-07-28,CRDT,31449600,PKR,E2EP26000130034,,BREF0000035,PSID 12010400002046360 SALES TAX ON GOODS -,,JSBLPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,36,HBL2026073000036,2026-07-27,2026-07-27,CRDT,98104500,PKR,E2EP26000140035,,BREF0000036,PSID 12010100001424055 INCOME TAX - COMPANI,,ALFHPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,37,HBL2026073000037,2026-07-30,2026-07-30,CRDT,300000,PKR,E2EP26000150036,146fb59f-7100-4379-8b0c-3f592b93fe61,BREF0000037,PSID 41011300000396784 TRAFFIC E-CHALLAN - ,,EASYPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,38,HBL2026073000038,2026-07-29,2026-07-29,CRDT,88471500,PKR,E2EP26000160037,2a86d4d5-e991-4b82-851b-c3de5b4ebb7f,BREF0000038,PSID 12010100001224349 INCOME TAX - COMPANI,,MEZNPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,39,HBL2026073000039,2026-07-28,2026-07-28,CRDT,14000000,PKR,E2EP26000170038,,BREF0000039,PSID 22010800000145120 SINDH SALES TAX ON S,,FAYSPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,40,HBL2026073000040,2026-07-27,2026-07-27,CRDT,650000,PKR,E2EP26000180039,,BREF0000040,PSID 41011400001427546 TRAFFIC E-CHALLAN - ,,MUCBPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,41,HBL2026073000041,2026-07-29,2026-07-29,CRDT,3500000,PKR,E2EP260001A0041,,BREF0000041,PSID 61011600000555795 COURT FEE - CIVIL FI,,HABBPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,42,HBL2026073000042,2026-07-28,2026-07-28,CRDT,18480000,PKR,E2EP260001B0042,,BREF0000042,PSID 71011800000214127 STAMP DUTY - PROPERT,,MEZNPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,43,HBL2026073000043,2026-07-27,2026-07-27,CRDT,98760000,PKR,E2EP260001C0043,,BREF0000043,PSID 12010500003000569 CUSTOMS DUTY & TAXES,,ALFHPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,44,HBL2026073000044,2026-07-30,2026-07-30,CRDT,4050000,PKR,E2EP260001D0044,,BREF0000044,PSID 31011200002580103 PROPERTY TAX - URBAN,,NBPAPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,45,HBL2026073000045,2026-07-29,2026-07-29,CRDT,1325000,PKR,E2EP260001E0045,8b85e14e-31c0-4013-8117-f7757da4a84f,BREF0000045,PSID 31010900001469438 MOTOR VEHICLE TOKEN ,,MUCBPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,46,HBL2026073000046,2026-07-28,2026-07-28,CRDT,100000000,PKR,E2EP260001F0046,a37b90ad-a074-4cc0-85cb-4d4c5cf1ee19,BREF0000046,PSID 71011900000974986 TENDER / EARNEST MON,,MEZNPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,47,HBL2026073000047,2026-07-27,2026-07-27,CRDT,7800000,PKR,E2EP260001G0047,,BREF0000047,PSID 31011000002865112 MOTOR VEHICLE REGIST,,ALFHPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,48,HBL2026073000048,2026-07-30,2026-07-30,CRDT,102921000,PKR,E2EP260001H0048,,BREF0000048,PSID 12010100001591754 INCOME TAX - COMPANI,,FAYSPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,49,HBL2026073000049,2026-07-29,2026-07-29,CRDT,3470000,PKR,E2EP260001J0049,55c5cfbc-a61b-4465-8aa7-c2c8ae3aad86,BREF0000049,PSID 31011200002443136 PROPERTY TAX - URBAN,,UNILPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,50,HBL2026073000050,2026-07-28,2026-07-28,CRDT,10312000,PKR,E2EP260001K0050,,BREF0000050,PSID 12010200004500703 INCOME TAX - INDIVID,,FAYSPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,51,HBL2026073000051,2026-07-27,2026-07-27,CRDT,13700000,PKR,E2EP260001M0051,,BREF0000051,PSID 21010700000316777 PUNJAB SALES TAX ON ,,JSBLPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,52,HBL2026073000052,2026-07-30,2026-07-30,CRDT,17900000,PKR,E2EP260001N0052,,BREF0000052,PSID 21010700000563761 PUNJAB SALES TAX ON ,,JSBLPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,53,HBL2026073000053,2026-07-29,2026-07-29,CRDT,150000,PKR,E2EP260001P0053,,BREF0000053,PSID 88000000000054 CNIC ISSUANCE / RENE,,JSBLPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,54,HBL2026073000054,2026-07-28,2026-07-28,CRDT,150000,PKR,E2EP260001Q0054,63823796-99c1-4f63-85a9-38df8cf384d1,BREF0000054,PSID 88000000000104 CNIC ISSUANCE / RENE,,FAYSPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,55,HBL2026073000055,2026-07-27,2026-07-27,CRDT,17200000,PKR,E2EP260001R0055,91b1302b-11bc-4d66-87ed-044c50586613,BREF0000055,PSID 12010200004912562 INCOME TAX - INDIVID,,NBPAPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,56,HBL2026073000056,2026-07-30,2026-07-30,CRDT,10200000,PKR,E2EP260001S0056,,BREF0000056,PSID 31011000003057134 MOTOR VEHICLE REGIST,,SCBLPKKX,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,57,HBL2026073000057,2026-07-29,2026-07-29,CRDT,89870000,PKR,E2EP260001T0057,,BREF0000057,PSID 12010500002919853 CUSTOMS DUTY & TAXES,,SCBLPKKX,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,58,HBL2026073000058,2026-07-28,2026-07-28,CRDT,150000,PKR,E2EP260001V0058,cf428bac-3872-4389-8e9c-062089044ecb,BREF0000058,PSID 88000000000096 CNIC ISSUANCE / RENE,,ALFHPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,59,HBL2026073000059,2026-07-27,2026-07-27,CRDT,38102400,PKR,E2EP260001W0059,,BREF0000059,PSID 12010400002246463 SALES TAX ON GOODS -,,UNILPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,60,HBL2026073000060,2026-07-30,2026-07-30,CRDT,500000,PKR,E2EP260001X0060,,BREF0000060,PSID 41011300000506179 TRAFFIC E-CHALLAN - ,,NBPAPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,61,HBL2026073000061,2026-07-29,2026-07-29,CRDT,1860000,PKR,E2EP260001Y0061,,BREF0000061,PSID 31011100001852604 PROFESSIONAL TAX - B,,NBPAPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,62,HBL2026073000062,2026-07-29,2026-07-29,CRDT,25000000,PKR,E2EP260001Z0062,,BREF0000062,PSID 61011700000664618 SECURITY DEPOSIT - L,,MUCBPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,63,HBL2026073000063,2026-07-27,2026-07-27,CRDT,150000,PKR,E2EP26000200063,b394af06-74ee-4fe7-828c-fb2122c4d2da,BREF0000063,PSID 88000000000047 CNIC ISSUANCE / RENE,,HABBPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,64,HBL2026073000064,2026-07-30,2026-07-30,CRDT,20000000,PKR,E2EP26000210064,cc733b4e-8db1-491b-83be-1b430a504966,BREF0000064,PSID 21010700000694183 PUNJAB SALES TAX ON ,,MEZNPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,65,HBL2026073000065,2026-07-29,2026-07-29,CRDT,2170000,PKR,E2EP26000220065,,BREF0000065,PSID 31011100001939024 PROFESSIONAL TAX - B,,JSBLPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,66,HBL2026073000066,2026-07-28,2026-07-28,CRDT,11400000,PKR,E2EP26000230066,,BREF0000066,PSID 31011000003167555 MOTOR VEHICLE REGIST,,HABBPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,67,HBL2026073000067,2026-07-27,2026-07-27,CRDT,75000000,PKR,E2EP26000240067,7aec22f1-67b3-4949-8488-6ec5a7fe219f,BREF0000067,PSID 71011900000819928 TENDER / EARNEST MON,,HABBPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,68,HBL2026073000068,2026-07-30,2026-07-30,CRDT,28123200,PKR,E2EP26000250068,,BREF0000068,PSID 12010400001909944 SALES TAX ON GOODS -,,MUCBPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,69,HBL2026073000069,2026-07-29,2026-07-29,CRDT,450000,PKR,E2EP26000260069,,BREF0000069,PSID 41011400001215669 TRAFFIC E-CHALLAN - ,,FAYSPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,70,HBL2026073000070,2026-07-28,2026-07-28,CRDT,107650000,PKR,E2EP26000270070,,BREF0000070,PSID 12010500003105952 CUSTOMS DUTY & TAXES,,MUCBPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,71,HBL2026073000071,2026-07-27,2026-07-27,CRDT,150000,PKR,E2EP26000280071,,BREF0000071,PSID 88000000000039 CNIC ISSUANCE / RENE,,ALFHPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,72,HBL2026073000072,2026-07-30,2026-07-30,CRDT,83655000,PKR,E2EP26000290072,d527c610-f323-4c73-82cc-1ba12aafb7d8,BREF0000072,PSID 12010100001105118 INCOME TAX - COMPANI,,ALFHPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,73,HBL2026073000073,2026-07-29,2026-07-29,CRDT,2000000,PKR,E2EP260002A0073,5701b8f0-9cc2-4044-8ba5-37799336a6d7,BREF0000073,PSID 61011600000273146 COURT FEE - CIVIL FI,,FAYSPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,74,HBL2026073000074,2026-07-28,2026-07-28,CRDT,2790000,PKR,E2EP260002B0074,,BREF0000074,PSID 31011100002132201 PROFESSIONAL TAX - B,,HABBPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,75,HBL2026073000075,2026-07-27,2026-07-27,CRDT,79788500,PKR,E2EP260002C0075,,BREF0000075,PSID 12010100001067875 INCOME TAX - COMPANI,,FAYSPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,76,HBL2026073000076,2026-07-30,2026-07-30,CRDT,34776000,PKR,E2EP260002D0076,1a412def-0fa2-4d3c-861c-113fd12920ba,BREF0000076,PSID 12010400002186397 SALES TAX ON GOODS -,,UNILPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,77,HBL2026073000077,2026-07-29,2026-07-29,CRDT,200000,PKR,E2EP260002E0077,,BREF0000077,PSID 41011300001105173 TRAFFIC E-CHALLAN - ,,EASYPKKA,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,78,HBL2026073000078,2026-07-28,2026-07-28,CRDT,11600000,PKR,E2EP260002F0078,,BREF0000078,PSID 21010700000247946 PUNJAB SALES TAX ON ,,JSBLPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,79,HBL2026073000079,2026-07-28,2026-07-28,CRDT,24640000,PKR,E2EP260002G0079,,BREF0000079,PSID 71011800000407636 STAMP DUTY - PROPERT,,UNILPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,80,HBL2026073000080,2026-07-29,2026-07-29,CRDT,1150000,PKR,R260001,19f6f4e1-f90d-45e1-8113-2cb61c8c45a9,BREF0000080,RAAST RTP R260001 PSID 31010900000925960,,ALFHPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,81,HBL2026073000081,2026-07-28,2026-07-28,CRDT,1250000,PKR,R260002,b728f0ca-0f12-489b-8f90-1cad5b1951e1,BREF0000081,RAAST RTP R260002 PSID 31010900001030807,,FAYSPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,82,HBL2026073000082,2026-07-30,2026-07-30,CRDT,1575000,PKR,R260003,0d33f8f1-8bb2-4167-82d4-1ff61a04433f,BREF0000082,RAAST RTP R260003 PSID 31010900001168656,,ALFHPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,83,HBL2026073000083,2026-07-29,2026-07-29,CRDT,1900000,PKR,R260004,712d5d90-1e6f-4e7d-8de4-cca7d5166b35,BREF0000083,RAAST RTP R260004 PSID 31010900001239495,,HABBPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,84,HBL2026073000084,2026-07-30,2026-07-30,CRDT,221000,PKR,E2EP260002N0084,,BREF0000084,CASH OTC 5101150000048,,MUCBPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,85,HBL2026073000085,2026-07-29,2026-07-29,CRDT,206000,PKR,E2EP260002P0085,,BREF0000085,CASH OTC 5101150000057,,EASYPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,86,HBL2026073000086,2026-07-28,2026-07-28,CRDT,191000,PKR,E2EP260002Q0086,,BREF0000086,CASH OTC 5101150000061,,HABBPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,87,HBL2026073000087,2026-07-30,2026-07-30,CRDT,235000,PKR,E2EP260002R0087,,BREF0000087,CASH OTC 5101150000073,,ALFHPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,88,HBL2026073000088,2026-07-29,2026-07-29,CRDT,220000,PKR,E2EP260002S0088,,BREF0000088,CASH OTC 5101150000085,,JSBLPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,89,HBL2026073000089,2026-07-28,2026-07-28,CRDT,205000,PKR,E2EP260002T0089,,BREF0000089,CASH OTC 5101150000099,,FAYSPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,90,HBL2026073000090,2026-07-30,2026-07-30,CRDT,249000,PKR,E2EP260002V0090,,BREF0000090,CASH OTC 5101150000103,,FAYSPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,91,HBL2026073000091,2026-07-29,2026-07-29,CRDT,234000,PKR,E2EP260002W0091,,BREF0000091,CASH OTC 5101150000116,,MEZNPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,92,HBL2026073000092,2026-07-28,2026-07-28,CRDT,219000,PKR,E2EP260002X0092,,BREF0000092,CASH OTC 5101150000127,,MEZNPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,93,HBL2026073000093,2026-07-30,2026-07-30,CRDT,263000,PKR,E2EP260002Y0093,,BREF0000093,CASH OTC 5101150000134,,JSBLPKKA,CASH
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,94,HBL2026073000094,2026-07-30,2026-07-30,CRDT,20235800,PKR,E2EP260002Z0094,56258e90-c4d9-47a5-89c3-fbd3ffe918b7,BREF0000094,PART PAYMENT PSID 12010100000485997,,MEZNPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,95,HBL2026073000095,2026-07-29,2026-07-29,CRDT,27378000,PKR,E2EP26000300095,444f6efc-ee2e-465b-874c-cc97e2f04bc5,BREF0000095,PART PAYMENT PSID 12010100000587511,,ALFHPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,96,HBL2026073000096,2026-07-28,2026-07-28,CRDT,35743500,PKR,E2EP26000310096,93bf4aa6-eae7-4d10-837b-839ce920a146,BREF0000096,PART PAYMENT PSID 12010100000683459,,SCBLPKKX,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,97,HBL2026073000097,2026-07-30,2026-07-30,CRDT,45632300,PKR,E2EP26000320097,9a050537-0e55-4183-86ea-3656c975bd23,BREF0000097,PART PAYMENT PSID 12010100000733644,,HABBPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,98,HBL2026073000098,2026-07-29,2026-07-29,CRDT,27682200,PKR,E2EP26000330098,f19e7a16-e1f2-4546-8b56-97fa80ec5563,BREF0000098,PART PAYMENT PSID 12010100000831173,,UNILPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,99,HBL2026073000099,2026-07-28,2026-07-28,CRDT,37011000,PKR,E2EP26000340099,8024f355-821f-43d9-8d72-be947b6f5b59,BREF0000099,PART PAYMENT PSID 12010100000966361,,NBPAPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,100,HBL2026073000100,2026-07-29,2026-07-29,CRDT,414700,PKR,E2EP26000350100,766a57b4-cf77-4bb2-82a3-7c528f2fa13c,BREF0000100,WASA ARREARS 5101150000012,,SCBLPKKX,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,101,HBL2026073000101,2026-07-30,2026-07-30,CRDT,800000,PKR,E2EP26000360101,aba3d984-043f-477b-8b07-5ee5571486b1,BREF0000101,QR CHALLAN 41011300001764709 41011400001867008,,EASYPKKA,RAAST
