assessment_id,psid,rf_reference,agency_code,product_code,payer_id,payer_account_id,payer_name_snapshot,payer_id_masked,external_ref,description,currency,assessed_amount_minor,surcharge_accrued_minor,discount_applied_minor,payable_amount_minor,allocated_amount_minor,balance_minor,issue_date,due_date,expiry_date,status,source,version,metadata,waterfall
AS-00011,12010100001105118,RF9712010100001105118,FBR,FBR-IT-COMP,PY-C011,,Descon Fabrication (Pvt) Ltd,NTN ****70-2,DEMAND/IT/2026/4110,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,83655000,1155000,0,83655000,83655000,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9110""}",PENALTY_FIRST
AS-00012,12010100001224349,RF9612010100001224349,FBR,FBR-IT-COMP,PY-C012,,Shalimar Pharma (Pvt) Ltd,NTN ****07-3,DEMAND/IT/2026/4111,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,88471500,1221500,0,88471500,88471500,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9111""}",PENALTY_FIRST
AS-00013,12010100001359715,RF7712010100001359715,FBR,FBR-IT-COMP,PY-C013,,Zenith Clearing Agents (Pvt) Ltd,NTN ****44-4,DEMAND/IT/2026/4112,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,94388000,1288000,0,94388000,94388000,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9112""}",PENALTY_FIRST
AS-00014,12010100001424055,RF7012010100001424055,FBR,FBR-IT-COMP,PY-C014,,Orient Auto Parts (Pvt) Ltd,NTN ****81-5,DEMAND/IT/2026/4113,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,98104500,1354500,0,98104500,98104500,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9113""}",PENALTY_FIRST
AS-00015,12010100001591754,RF6012010100001591754,FBR,FBR-IT-COMP,PY-C015,,Crescent Packaging Ltd,NTN ****18-6,DEMAND/IT/2026/4114,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,102921000,1421000,0,102921000,102921000,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9114""}",PENALTY_FIRST
AS-00016,12010400001661551,RF4012010400001661551,FBR,FBR-ST-DOM,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,STR/2026/06/7200,Sales Tax on Goods - Monthly Return - 2026-06,PKR,18144000,144000,0,18144000,0,18144000,2026-07-10,2026-07-25,,OVERDUE,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00017,12010400001776532,RF3812010400001776532,FBR,FBR-ST-DOM,PY-C002,,Lahore Textile Mills Ltd,NTN ****37-2,STR/2026/06/7201,Sales Tax on Goods - Monthly Return - 2026-06,PKR,21470400,170400,0,21470400,0,21470400,2026-07-10,2026-07-25,,OVERDUE,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00018,12010400001899869,RF4612010400001899869,FBR,FBR-ST-DOM,PY-C003,,Indus Logistics (Pvt) Ltd,NTN ****74-3,STR/2026/06/7202,Sales Tax on Goods - Monthly Return - 2026-06,PKR,24796800,196800,0,24796800,0,24796800,2026-07-10,2026-07-25,,OVERDUE,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00019,12010400001909944,RF0912010400001909944,FBR,FBR-ST-DOM,PY-C004,,Karachi Steel Works Ltd,NTN ****11-4,STR/2026/06/7203,Sales Tax on Goods - Monthly Return - 2026-06,PKR,28123200,223200,0,28123200,28123200,0,2026-07-10,2026-07-25,,SETTLED,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00020,12010400002046360,RF6112010400002046360,FBR,FBR-ST-DOM,PY-C005,,Ravi Engineering (Pvt) Ltd,NTN ****48-5,STR/2026/06/7204,Sales Tax on Goods - Monthly Return - 2026-06,PKR,31449600,249600,0,31449600,31449600,0,2026-07-10,2026-07-25,,SETTLED,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00021,12010400002186397,RF2512010400002186397,FBR,FBR-ST-DOM,PY-C006,,Meridian Foods (Pvt) Ltd,NTN ****85-6,STR/2026/06/7205,Sales Tax on Goods - Monthly Return - 2026-06,PKR,34776000,276000,0,34776000,34776000,0,2026-07-10,2026-07-25,,SETTLED,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00022,12010400002246463,RF8312010400002246463,FBR,FBR-ST-DOM,PY-C007,,Sapphire Chemicals Ltd,NTN ****22-7,STR/2026/06/7206,Sales Tax on Goods - Monthly Return - 2026-06,PKR,38102400,302400,0,38102400,38102400,0,2026-07-10,2026-07-25,,SETTLED,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00023,12010400002312071,RF8112010400002312071,FBR,FBR-ST-DOM,PY-C008,,Northern Cement Company Ltd,NTN ****59-8,STR/2026/06/7207,Sales Tax on Goods - Monthly Return - 2026-06,PKR,41428800,328800,0,41428800,41428800,0,2026-07-10,2026-07-25,,SETTLED,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00024,12010400002413680,RF8912010400002413680,FBR,FBR-ST-DOM,PY-C009,,Gulberg Software House (Pvt) Ltd,NTN ****96-9,STR/2026/06/7208,Sales Tax on Goods - Monthly Return - 2026-06,PKR,44755200,355200,0,44755200,44755200,0,2026-07-10,2026-07-25,,SETTLED,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00025,12010400002511726,RF7412010400002511726,FBR,FBR-ST-DOM,PY-C010,,Pak Agro Processing Ltd,NTN ****33-1,STR/2026/06/7209,Sales Tax on Goods - Monthly Return - 2026-06,PKR,48081600,381600,0,48081600,48081600,0,2026-07-10,2026-07-25,,SETTLED,AGENCY_API,1,"{""return_period"": ""2026-06""}",PENALTY_FIRST
AS-00026,21010700000199704,RF3621010700000199704,PRA,PRA-PST-SVC,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,PRA/2026/06/3300,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,9500000,0,0,9500000,0,9500000,2026-07-12,2026-07-27,,OVERDUE,AGENCY_API,1,{},PRO_RATA
AS-00027,21010700000247946,RF1821010700000247946,PRA,PRA-PST-SVC,PY-C002,,Lahore Textile Mills Ltd,NTN ****37-2,PRA/2026/06/3301,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,11600000,0,0,11600000,11600000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PRO_RATA
AS-00028,21010700000316777,RF0421010700000316777,PRA,PRA-PST-SVC,PY-C003,,Indus Logistics (Pvt) Ltd,NTN ****74-3,PRA/2026/06/3302,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,13700000,0,0,13700000,13700000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PRO_RATA
AS-00029,21010700000453545,RF5821010700000453545,PRA,PRA-PST-SVC,PY-C004,,Karachi Steel Works Ltd,NTN ****11-4,PRA/2026/06/3303,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,15800000,0,0,15800000,15800000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PRO_RATA
AS-00030,21010700000563761,RF8921010700000563761,PRA,PRA-PST-SVC,PY-C005,,Ravi Engineering (Pvt) Ltd,NTN ****48-5,PRA/2026/06/3304,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,17900000,0,0,17900000,17900000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PRO_RATA
AS-00031,21010700000694183,RF8621010700000694183,PRA,PRA-PST-SVC,PY-C006,,Meridian Foods (Pvt) Ltd,NTN ****85-6,PRA/2026/06/3305,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,20000000,0,0,20000000,20000000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PRO_RATA
AS-00032,21010700000751181,RF4521010700000751181,PRA,PRA-PST-SVC,PY-C007,,Sapphire Chemicals Ltd,NTN ****22-7,PRA/2026/06/3306,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,22100000,0,0,22100000,22100000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PRO_RATA
AS-00033,21010700000801750,RF5421010700000801750,PRA,PRA-PST-SVC,PY-C008,,Northern Cement Company Ltd,NTN ****59-8,PRA/2026/06/3307,Punjab Sales Tax on Services - Monthly - 2026-06,PKR,24200000,0,0,24200000,24200000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PRO_RATA
AS-00034,22010800000145120,RF9122010800000145120,SRB,SRB-SST-SVC,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,SRB/2026/06/5500,Sindh Sales Tax on Services - Monthly - 2026-06,PKR,14000000,0,0,14000000,14000000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PENALTY_FIRST
AS-00035,22010800000215654,RF7422010800000215654,SRB,SRB-SST-SVC,PY-C002,,Lahore Textile Mills Ltd,NTN ****37-2,SRB/2026/06/5501,Sindh Sales Tax on Services - Monthly - 2026-06,PKR,16600000,0,0,16600000,0,16600000,2026-07-12,2026-07-27,,OVERDUE,AGENCY_API,1,{},PENALTY_FIRST
AS-00036,22010800000305128,RF6122010800000305128,SRB,SRB-SST-SVC,PY-C003,,Indus Logistics (Pvt) Ltd,NTN ****74-3,SRB/2026/06/5502,Sindh Sales Tax on Services - Monthly - 2026-06,PKR,19200000,0,0,19200000,19200000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PENALTY_FIRST
AS-00037,22010800000403089,RF1322010800000403089,SRB,SRB-SST-SVC,PY-C004,,Karachi Steel Works Ltd,NTN ****11-4,SRB/2026/06/5503,Sindh Sales Tax on Services - Monthly - 2026-06,PKR,21800000,0,0,21800000,21800000,0,2026-07-12,2026-07-27,,SETTLED,AGENCY_API,1,{},PENALTY_FIRST
AS-00038,22010800000558917,RF3222010800000558917,SRB,SRB-SST-SVC,PY-C005,,Ravi Engineering (Pvt) Ltd,NTN ****48-5,SRB/2026/06/5504,Sindh Sales Tax on Services - Monthly - 2026-06,PKR,24400000,0,0,24400000,0,24400000,2026-07-12,2026-07-27,,OVERDUE,AGENCY_API,1,{},PENALTY_FIRST
AS-00039,12010500002672566,RF4612010500002672566,FBR,FBR-CUSTOMS,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,GD-KAPW-HC-60100,Customs Duty & Taxes (PSW/GD) - 2026-07,PKR,63200000,0,0,63200000,63200000,0,2026-07-28,2026-07-30,2026-08-02,SETTLED,AGENCY_API,1,"{""gd_no"": ""KAPW-HC-60100"", ""psw_ref"": ""PSW880000""}",EXPLICIT_ONLY
AS-00040,12010500002743126,RF0612010500002743126,FBR,FBR-CUSTOMS,PY-C002,,Lahore Textile Mills Ltd,NTN ****37-2,GD-KAPW-HC-60101,Customs Duty & Taxes (PSW/GD) - 2026-07,PKR,72090000,0,0,72090000,72090000,0,2026-07-28,2026-07-30,2026-08-02,SETTLED,AGENCY_API,1,"{""gd_no"": ""KAPW-HC-60101"", ""psw_ref"": ""PSW880001""}",EXPLICIT_ONLY
AS-00041,12010500002846133,RF9812010500002846133,FBR,FBR-CUSTOMS,PY-C003,,Indus Logistics (Pvt) Ltd,NTN ****74-3,GD-KAPW-HC-60102,Customs Duty & Taxes (PSW/GD) - 2026-07,PKR,80980000,0,0,80980000,0,80980000,2026-07-28,2026-07-30,2026-08-02,ISSUED,AGENCY_API,1,"{""gd_no"": ""KAPW-HC-60102"", ""psw_ref"": ""PSW880002""}",EXPLICIT_ONLY
AS-00042,12010500002919853,RF9812010500002919853,FBR,FBR-CUSTOMS,PY-C004,,Karachi Steel Works Ltd,NTN ****11-4,GD-KAPW-HC-60103,Customs Duty & Taxes (PSW/GD) - 2026-07,PKR,89870000,0,0,89870000,89870000,0,2026-07-28,2026-07-30,2026-08-02,SETTLED,AGENCY_API,1,"{""gd_no"": ""KAPW-HC-60103"", ""psw_ref"": ""PSW880003""}",EXPLICIT_ONLY
AS-00043,12010500003000569,RF6512010500003000569,FBR,FBR-CUSTOMS,PY-C005,,Ravi Engineering (Pvt) Ltd,NTN ****48-5,GD-KAPW-HC-60104,Customs Duty & Taxes (PSW/GD) - 2026-07,PKR,98760000,0,0,98760000,98760000,0,2026-07-28,2026-07-30,2026-08-02,SETTLED,AGENCY_API,1,"{""gd_no"": ""KAPW-HC-60104"", ""psw_ref"": ""PSW880004""}",EXPLICIT_ONLY
AS-00044,12010500003105952,RF2512010500003105952,FBR,FBR-CUSTOMS,PY-C006,,Meridian Foods (Pvt) Ltd,NTN ****85-6,GD-KAPW-HC-60105,Customs Duty & Taxes (PSW/GD) - 2026-07,PKR,107650000,0,0,107650000,107650000,0,2026-07-28,2026-07-30,2026-08-02,SETTLED,AGENCY_API,1,"{""gd_no"": ""KAPW-HC-60105"", ""psw_ref"": ""PSW880005""}",EXPLICIT_ONLY
AS-00045,12010300003231642,RF1612010300003231642,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9001,Withholding Tax - Contracts s.153 - 2026-07,PKR,1800000,0,0,1800000,1800000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 1"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00046,12010300003336818,RF3612010300003336818,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9002,Withholding Tax - Contracts s.153 - 2026-07,PKR,2035000,0,0,2035000,2035000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 2"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00047,12010300003447830,RF1212010300003447830,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9003,Withholding Tax - Contracts s.153 - 2026-07,PKR,2270000,0,0,2270000,2270000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 3"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00048,12010300003582528,RF8412010300003582528,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9004,Withholding Tax - Contracts s.153 - 2026-07,PKR,2505000,0,0,2505000,2505000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 4"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00049,12010300003674974,RF4612010300003674974,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9005,Withholding Tax - Contracts s.153 - 2026-07,PKR,2740000,0,0,2740000,2740000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 5"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00050,12010300003793653,RF1112010300003793653,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9006,Withholding Tax - Contracts s.153 - 2026-07,PKR,2975000,0,0,2975000,2975000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 6"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00051,12010300003852152,RF8612010300003852152,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9007,Withholding Tax - Contracts s.153 - 2026-07,PKR,3210000,0,0,3210000,3210000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 7"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00052,12010300003922280,RF7012010300003922280,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9008,Withholding Tax - Contracts s.153 - 2026-07,PKR,3445000,0,0,3445000,3445000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 8"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00053,12010300004037339,RF9612010300004037339,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9009,Withholding Tax - Contracts s.153 - 2026-07,PKR,3680000,0,0,3680000,3680000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 9"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00054,12010300004129118,RF2512010300004129118,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9010,Withholding Tax - Contracts s.153 - 2026-07,PKR,3915000,0,0,3915000,3915000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 10"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00055,12010300004259868,RF9012010300004259868,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9011,Withholding Tax - Contracts s.153 - 2026-07,PKR,4150000,0,0,4150000,4150000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 11"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00056,12010300004336105,RF3112010300004336105,FBR,FBR-WHT-153,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,WHT/153/2026/07/9012,Withholding Tax - Contracts s.153 - 2026-07,PKR,4385000,0,0,4385000,4385000,0,2026-07-24,2026-07-31,,SETTLED,AGENCY_API,1,"{""vendor"": ""Vendor 12"", ""section"": ""153(1)(a)""}",EXPLICIT_ONLY
AS-00057,31010900000181526,RF1831010900000181526,ETPB,ETPB-TOKEN-CAR,PY-I001,PA-VEH-001,Muhammad Ahmed Khan,CNIC ****00-1,TOKEN/2026-27/LEA-17-1000,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1000000,0,0,1000000,0,1000000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-1000"", ""engine_cc"": 1000}",OLDEST_FIRST
AS-00058,31010900000272949,RF5331010900000272949,ETPB,ETPB-TOKEN-CAR,PY-I002,PA-VEH-002,Fatima Zahra Siddiqui,CNIC ****71-2,TOKEN/2026-27/LEA-18-1137,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1325000,75000,0,1325000,1325000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-18-1137"", ""engine_cc"": 1300}",OLDEST_FIRST
AS-00059,31010900000396648,RF8431010900000396648,ETPB,ETPB-TOKEN-CAR,PY-I003,PA-VEH-003,Ali Hassan Raza,CNIC ****42-3,TOKEN/2026-27/LEA-19-1274,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1650000,150000,0,1650000,0,1650000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-1274"", ""engine_cc"": 1600}",OLDEST_FIRST
AS-00060,31010900000455600,RF5331010900000455600,ETPB,ETPB-TOKEN-CAR,PY-I004,PA-VEH-004,Ayesha Bibi,CNIC ****13-4,TOKEN/2026-27/LEA-20-1411,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1750000,0,0,1750000,0,1750000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-20-1411"", ""engine_cc"": 1900}",OLDEST_FIRST
AS-00061,31010900000509409,RF7631010900000509409,ETPB,ETPB-TOKEN-CAR,PY-I005,PA-VEH-005,Usman Ghani Butt,CNIC ****84-5,TOKEN/2026-27/LEA-21-1548,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1075000,75000,0,1075000,0,1075000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-21-1548"", ""engine_cc"": 1000}",OLDEST_FIRST
AS-00062,31010900000612177,RF2531010900000612177,ETPB,ETPB-TOKEN-CAR,PY-I006,PA-VEH-006,Zainab Malik,CNIC ****55-6,TOKEN/2026-27/LEA-17-1685,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1400000,150000,0,1400000,0,1400000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-17-1685"", ""engine_cc"": 1300}",OLDEST_FIRST
AS-00063,31010900000700304,RF0631010900000700304,ETPB,ETPB-TOKEN-CAR,PY-I007,PA-VEH-007,Bilal Ahmad Chaudhry,CNIC ****26-7,TOKEN/2026-27/LEA-18-1822,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1500000,0,0,1500000,0,1500000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-18-1822"", ""engine_cc"": 1600}",OLDEST_FIRST
AS-00064,31010900000871200,RF0731010900000871200,ETPB,ETPB-TOKEN-CAR,PY-I008,PA-VEH-008,Sana Tariq,CNIC ****97-8,TOKEN/2026-27/LEA-19-1959,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1825000,75000,0,1825000,0,1825000,2026-05-31,2026-06-30,,OVERDUE,AGENCY_API,1,"{""vehicle_reg"": ""LEA-19-1959"", ""engine_cc"": 1900}",OLDEST_FIRST
AS-00065,31010900000925960,RF5831010900000925960,ETPB,ETPB-TOKEN-CAR,PY-I009,PA-VEH-009,Hamza Yousaf Sheikh,CNIC ****68-9,TOKEN/2026-27/LEA-20-2096,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1150000,150000,0,1150000,1150000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-20-2096"", ""engine_cc"": 1000}",OLDEST_FIRST
AS-00066,31010900001030807,RF3731010900001030807,ETPB,ETPB-TOKEN-CAR,PY-I010,PA-VEH-010,Maryam Nawaz Cheema,CNIC ****39-1,TOKEN/2026-27/LEA-21-2233,Motor Vehicle Token Tax - Private Car - 2026-27,PKR,1250000,0,0,1250000,1250000,0,2026-05-31,2026-06-30,,SETTLED,AGENCY_API,1,"{""vehicle_reg"": ""LEA-21-2233"", ""engine_cc"": 1300}",OLDEST_FIRST
